REGION,YEAR,WEEK,ILITOTAL
Region 5,1998,13,141
Region 6,1998,13,1
Region 7,1998,13,13
Region 8,1998,13,23
Region 9,1998,13,56
Region 10,1998,13,21
Region 1,1998,14,13
Region 2,1998,14,18
Region 3,1998,14,39
Region 4,1998,14,29
Region 5,1998,14,160
Region 6,1998,14,0
Region 7,1998,14,14
Region 8,1998,14,25
Region 9,1998,14,50
Region 10,1998,14,20
Region 1,1998,15,5
Region 2,1998,15,1
Region 3,1998,15,29
Region 4,1998,15,20
Region 5,1998,15,95
Region 6,1998,15,2
Region 7,1998,15,20
Region 8,1998,15,13
Region 9,1998,15,50
Region 10,1998,15,27
Region 1,1998,16,6
Region 2,1998,16,2
Region 3,1998,16,42
Region 4,1998,16,29
Region 5,1998,16,96
Region 6,1998,16,2
Region 7,1998,16,10
Region 8,1998,16,18
Region 9,1998,16,48
Region 10,1998,16,12
Region 1,1998,17,3
Region 2,1998,17,9
Region 3,1998,17,18
Region 4,1998,17,40
Region 5,1998,17,110
Region 6,1998,17,0
Region 7,1998,17,13
Region 8,1998,17,7
Region 9,1998,17,48
Region 10,1998,17,18
Region 1,1998,18,5
Region 2,1998,18,1
Region 3,1998,18,17
Region 4,1998,18,36
Region 5,1998,18,97
Region 6,1998,18,0
Region 7,1998,18,11
Region 8,1998,18,2
Region 9,1998,18,30
Region 10,1998,18,10
Region 1,1998,19,4
Region 2,1998,19,1
Region 3,1998,19,19
Region 4,1998,19,15
Region 5,1998,19,73
Region 6,1998,19,0
Region 7,1998,19,11
Region 8,1998,19,0
Region 9,1998,19,49
Region 10,1998,19,14
Region 1,1998,20,2
Region 2,1998,20,1
Region 3,1998,20,21
Region 4,1998,20,14
Region 5,1998,20,63
Region 6,1998,20,0
Region 7,1998,20,3
Region 8,1998,20,0
Region 9,1998,20,48
Region 10,1998,20,13
Region 1,1998,21,0
Region 2,1998,21,0
Region 3,1998,21,0
Region 4,1998,21,0
Region 5,1998,21,0
Region 6,1998,21,0
Region 7,1998,21,0
Region 8,1998,21,0
Region 9,1998,21,0
Region 10,1998,21,0
Region 1,1998,22,0
Region 2,1998,22,0
Region 3,1998,22,0
Region 4,1998,22,0
Region 5,1998,22,0
Region 6,1998,22,0
Region 7,1998,22,0
Region 8,1998,22,0
Region 9,1998,22,0
Region 10,1998,22,0
Region 1,1998,23,0
Region 2,1998,23,0
Region 3,1998,23,0
Region 4,1998,23,0
Region 5,1998,23,0
Region 6,1998,23,0
Region 7,1998,23,0
Region 8,1998,23,0
Region 9,1998,23,0
Region 10,1998,23,0
Region 1,1998,24,0
Region 2,1998,24,0
Region 3,1998,24,0
Region 4,1998,24,0
Region 5,1998,24,0
Region 6,1998,24,0
Region 7,1998,24,0
Region 8,1998,24,0
Region 9,1998,24,0
Region 10,1998,24,0
Region 1,1998,25,0
Region 2,1998,25,0
Region 3,1998,25,0
Region 4,1998,25,0
Region 5,1998,25,0
Region 6,1998,25,0
Region 7,1998,25,0
Region 8,1998,25,0
Region 9,1998,25,0
Region 10,1998,25,0
Region 1,1998,26,0
Region 2,1998,26,0
Region 3,1998,26,0
Region 4,1998,26,0
Region 5,1998,26,0
Region 6,1998,26,0
Region 7,1998,26,0
Region 8,1998,26,0
Region 9,1998,26,0
Region 10,1998,26,0
Region 1,1998,27,0
Region 2,1998,27,0
Region 3,1998,27,0
Region 4,1998,27,0
Region 5,1998,27,0
Region 6,1998,27,0
Region 7,1998,27,0
Region 8,1998,27,0
Region 9,1998,27,0
Region 10,1998,27,0
Region 1,1998,28,0
Region 2,1998,28,0
Region 3,1998,28,0
Region 4,1998,28,0
Region 5,1998,28,0
Region 6,1998,28,0
Region 7,1998,28,0
Region 8,1998,28,0
Region 9,1998,28,0
Region 10,1998,28,0
Region 1,1998,29,0
Region 2,1998,29,0
Region 3,1998,29,0
Region 4,1998,29,0
Region 5,1998,29,0
Region 6,1998,29,0
Region 7,1998,29,0
Region 8,1998,29,0
Region 9,1998,29,0
Region 10,1998,29,0
Region 1,1998,30,0
Region 2,1998,30,0
Region 3,1998,30,0
Region 4,1998,30,0
Region 5,1998,30,0
Region 6,1998,30,0
Region 7,1998,30,0
Region 8,1998,30,0
Region 9,1998,30,0
Region 10,1998,30,0
Region 1,1998,31,0
Region 2,1998,31,0
Region 3,1998,31,0
Region 4,1998,31,0
Region 5,1998,31,0
Region 6,1998,31,0
Region 7,1998,31,0
Region 8,1998,31,0
Region 9,1998,31,0
Region 10,1998,31,0
Region 1,1998,32,0
Region 2,1998,32,0
Region 3,1998,32,0
Region 4,1998,32,0
Region 5,1998,32,0
Region 6,1998,32,0
Region 7,1998,32,0
Region 8,1998,32,0
Region 9,1998,32,0
Region 10,1998,32,0
Region 1,1998,33,0
Region 2,1998,33,0
Region 3,1998,33,0
Region 4,1998,33,0
Region 5,1998,33,0
Region 6,1998,33,0
Region 7,1998,33,0
Region 8,1998,33,0
Region 9,1998,33,0
Region 10,1998,33,0
Region 1,1998,34,0
Region 2,1998,34,0
Region 3,1998,34,0
Region 4,1998,34,0
Region 5,1998,34,0
Region 6,1998,34,0
Region 7,1998,34,0
Region 8,1998,34,0
Region 9,1998,34,0
Region 10,1998,34,0
Region 1,1998,35,0
Region 2,1998,35,0
Region 3,1998,35,0
Region 4,1998,35,0
Region 5,1998,35,0
Region 6,1998,35,0
Region 7,1998,35,0
Region 8,1998,35,0
Region 9,1998,35,0
Region 10,1998,35,0
Region 1,1998,36,0
Region 2,1998,36,0
Region 3,1998,36,0
Region 4,1998,36,0
Region 5,1998,36,0
Region 6,1998,36,0
Region 7,1998,36,0
Region 8,1998,36,0
Region 9,1998,36,0
Region 10,1998,36,0
Region 1,1998,37,0
Region 2,1998,37,0
Region 3,1998,37,0
Region 4,1998,37,0
Region 5,1998,37,0
Region 6,1998,37,0
Region 7,1998,37,0
Region 8,1998,37,0
Region 9,1998,37,0
Region 10,1998,37,0
Region 1,1998,38,0
Region 2,1998,38,0
Region 3,1998,38,0
Region 4,1998,38,0
Region 5,1998,38,0
Region 6,1998,38,0
Region 7,1998,38,0
Region 8,1998,38,0
Region 9,1998,38,0
Region 10,1998,38,0
Region 1,1998,39,0
Region 2,1998,39,0
Region 3,1998,39,0
Region 4,1998,39,0
Region 5,1998,39,0
Region 6,1998,39,0
Region 7,1998,39,0
Region 8,1998,39,0
Region 9,1998,39,0
Region 10,1998,39,0
Region 1,1998,40,45
Region 2,1998,40,23
Region 3,1998,40,48
Region 4,1998,40,50
Region 5,1998,40,103
Region 6,1998,40,2
Region 7,1998,40,32
Region 8,1998,40,42
Region 9,1998,40,131
Region 10,1998,40,14
Region 1,1998,41,38
Region 2,1998,41,14
Region 3,1998,41,49
Region 4,1998,41,108
Region 5,1998,41,142
Region 6,1998,41,6
Region 7,1998,41,56
Region 8,1998,41,55
Region 9,1998,41,109
Region 10,1998,41,28
Region 1,1998,42,62
Region 2,1998,42,19
Region 3,1998,42,60
Region 4,1998,42,80
Region 5,1998,42,141
Region 6,1998,42,46
Region 7,1998,42,76
Region 8,1998,42,118
Region 9,1998,42,155
Region 10,1998,42,26
Region 1,1998,43,37
Region 2,1998,43,0
Region 3,1998,43,64
Region 4,1998,43,145
Region 5,1998,43,417
Region 6,1998,43,17
Region 7,1998,43,115
Region 8,1998,43,110
Region 9,1998,43,143
Region 10,1998,43,38
Region 1,1998,44,47
Region 2,1998,44,32
Region 3,1998,44,123
Region 4,1998,44,148
Region 5,1998,44,127
Region 6,1998,44,88
Region 7,1998,44,83
Region 8,1998,44,144
Region 9,1998,44,217
Region 10,1998,44,25
Region 1,1998,45,67
Region 2,1998,45,20
Region 3,1998,45,106
Region 4,1998,45,208
Region 5,1998,45,147
Region 6,1998,45,45
Region 7,1998,45,76
Region 8,1998,45,125
Region 9,1998,45,209
Region 10,1998,45,19
Region 1,1998,46,68
Region 2,1998,46,16
Region 3,1998,46,100
Region 4,1998,46,212
Region 5,1998,46,156
Region 6,1998,46,73
Region 7,1998,46,100
Region 8,1998,46,212
Region 9,1998,46,221
Region 10,1998,46,20
Region 1,1998,47,40
Region 2,1998,47,9
Region 3,1998,47,166
Region 4,1998,47,193
Region 5,1998,47,342
Region 6,1998,47,59
Region 7,1998,47,56
Region 8,1998,47,105
Region 9,1998,47,217
Region 10,1998,47,21
Region 1,1998,48,68
Region 2,1998,48,18
Region 3,1998,48,128
Region 4,1998,48,224
Region 5,1998,48,255
Region 6,1998,48,60
Region 7,1998,48,97
Region 8,1998,48,95
Region 9,1998,48,207
Region 10,1998,48,24
Region 1,1998,49,71
Region 2,1998,49,12
Region 3,1998,49,130
Region 4,1998,49,219
Region 5,1998,49,268
Region 6,1998,49,58
Region 7,1998,49,136
Region 8,1998,49,106
Region 9,1998,49,180
Region 10,1998,49,22
Region 1,1998,50,48
Region 2,1998,50,21
Region 3,1998,50,110
Region 4,1998,50,190
Region 5,1998,50,191
Region 6,1998,50,71
Region 7,1998,50,152
Region 8,1998,50,99
Region 9,1998,50,243
Region 10,1998,50,16
Region 1,1998,51,68
Region 2,1998,51,0
Region 3,1998,51,115
Region 4,1998,51,168
Region 5,1998,51,156
Region 6,1998,51,51
Region 7,1998,51,66
Region 8,1998,51,115
Region 9,1998,51,305
Region 10,1998,51,20
Region 1,1998,52,70
Region 2,1998,52,5
Region 3,1998,52,104
Region 4,1998,52,190
Region 5,1998,52,243
Region 6,1998,52,162
Region 7,1998,52,90
Region 8,1998,52,105
Region 9,1998,52,431
Region 10,1998,52,23
Region 1,1999,1,101
Region 2,1999,1,9
Region 3,1999,1,112
Region 4,1999,1,251
Region 5,1999,1,202
Region 6,1999,1,151
Region 7,1999,1,105
Region 8,1999,1,185
Region 9,1999,1,612
Region 10,1999,1,52
Region 1,1999,2,153
Region 2,1999,2,13
Region 3,1999,2,215
Region 4,1999,2,371
Region 5,1999,2,344
Region 6,1999,2,338
Region 7,1999,2,106
Region 8,1999,2,247
Region 9,1999,2,549
Region 10,1999,2,71
Region 1,1999,3,203
Region 2,1999,3,37
Region 3,1999,3,283
Region 4,1999,3,622
Region 5,1999,3,642
Region 6,1999,3,344
Region 7,1999,3,263
Region 8,1999,3,514
Region 9,1999,3,903
Region 10,1999,3,53
Region 1,1999,4,246
Region 2,1999,4,35
Region 3,1999,4,327
Region 4,1999,4,649
Region 5,1999,4,1018
Region 6,1999,4,374
Region 7,1999,4,318
Region 8,1999,4,676
Region 9,1999,4,827
Region 10,1999,4,75
Region 1,1999,5,563
Region 2,1999,5,36
Region 3,1999,5,306
Region 4,1999,5,722
Region 5,1999,5,1694
Region 6,1999,5,364
Region 7,1999,5,560
Region 8,1999,5,612
Region 9,1999,5,732
Region 10,1999,5,81
Region 1,1999,6,553
Region 2,1999,6,27
Region 3,1999,6,515
Region 4,1999,6,602
Region 5,1999,6,1937
Region 6,1999,6,316
Region 7,1999,6,473
Region 8,1999,6,550
Region 9,1999,6,681
Region 10,1999,6,114
Region 1,1999,7,448
Region 2,1999,7,15
Region 3,1999,7,353
Region 4,1999,7,533
Region 5,1999,7,1773
Region 6,1999,7,378
Region 7,1999,7,468
Region 8,1999,7,415
Region 9,1999,7,433
Region 10,1999,7,104
Region 1,1999,8,473
Region 2,1999,8,18
Region 3,1999,8,382
Region 4,1999,8,537
Region 5,1999,8,1436
Region 6,1999,8,362
Region 7,1999,8,316
Region 8,1999,8,333
Region 9,1999,8,543
Region 10,1999,8,86
Region 1,1999,9,431
Region 2,1999,9,17
Region 3,1999,9,323
Region 4,1999,9,506
Region 5,1999,9,1186
Region 6,1999,9,274
Region 7,1999,9,243
Region 8,1999,9,315
Region 9,1999,9,556
Region 10,1999,9,59
Region 1,1999,10,252
Region 2,1999,10,17
Region 3,1999,10,277
Region 4,1999,10,460
Region 5,1999,10,753
Region 6,1999,10,178
