REGION,YEAR,WEEK,ILITOTAL
New Jersey,2020,44,442
New Mexico,2020,44,345
New York,2020,44,389
North Carolina,2020,44,739
North Dakota,2020,44,77
Ohio,2020,44,161
Oklahoma,2020,44,141
Oregon,2020,44,443
Pennsylvania,2020,44,555
Rhode Island,2020,44,60
South Carolina,2020,44,145
South Dakota,2020,44,72
Tennessee,2020,44,428
Texas,2020,44,720
Utah,2020,44,241
Vermont,2020,44,31
Virginia,2020,44,802
Washington,2020,44,137
West Virginia,2020,44,186
Wisconsin,2020,44,186
Wyoming,2020,44,35
Commonwealth of the Northern Mariana Islands,2020,44,X
Puerto Rico,2020,44,100
Virgin Islands,2020,44,4
New York City,2020,44,623
Alabama,2020,45,535
Alaska,2020,45,28
Arizona,2020,45,188
Arkansas,2020,45,232
California,2020,45,853
Colorado,2020,45,410
Connecticut,2020,45,545
Delaware,2020,45,72
District of Columbia,2020,45,122
Florida,2020,45,3314
Georgia,2020,45,1209
Hawaii,2020,45,22
Idaho,2020,45,202
Illinois,2020,45,1138
Indiana,2020,45,738
Iowa,2020,45,289
Kansas,2020,45,208
Kentucky,2020,45,439
Louisiana,2020,45,361
Maine,2020,45,86
Maryland,2020,45,499
Massachusetts,2020,45,547
Michigan,2020,45,95
Minnesota,2020,45,270
Mississippi,2020,45,226
Missouri,2020,45,312
Montana,2020,45,63
Nebraska,2020,45,168
Nevada,2020,45,139
New Hampshire,2020,45,8
New Jersey,2020,45,605
New Mexico,2020,45,404
New York,2020,45,476
North Carolina,2020,45,727
North Dakota,2020,45,72
Ohio,2020,45,135
Oklahoma,2020,45,190
Oregon,2020,45,544
Pennsylvania,2020,45,631
Rhode Island,2020,45,100
South Carolina,2020,45,189
South Dakota,2020,45,62
Tennessee,2020,45,487
Texas,2020,45,905
Utah,2020,45,258
Vermont,2020,45,34
Virginia,2020,45,934
Washington,2020,45,129
West Virginia,2020,45,141
Wisconsin,2020,45,200
Wyoming,2020,45,25
Commonwealth of the Northern Mariana Islands,2020,45,X
Puerto Rico,2020,45,111
Virgin Islands,2020,45,1
New York City,2020,45,680
Alabama,2020,46,507
Alaska,2020,46,37
Arizona,2020,46,195
Arkansas,2020,46,235
California,2020,46,871
Colorado,2020,46,369
Connecticut,2020,46,581
Delaware,2020,46,59
District of Columbia,2020,46,139
Florida,2020,46,3414
Georgia,2020,46,1265
Hawaii,2020,46,15
Idaho,2020,46,181
Illinois,2020,46,1122
Indiana,2020,46,856
Iowa,2020,46,49
Kansas,2020,46,209
Kentucky,2020,46,516
Louisiana,2020,46,324
Maine,2020,46,108
Maryland,2020,46,649
Massachusetts,2020,46,584
Michigan,2020,46,85
Minnesota,2020,46,246
Mississippi,2020,46,224
Missouri,2020,46,365
Montana,2020,46,62
Nebraska,2020,46,152
Nevada,2020,46,118
New Hampshire,2020,46,8
New Jersey,2020,46,725
New Mexico,2020,46,426
New York,2020,46,562
North Carolina,2020,46,812
North Dakota,2020,46,75
Ohio,2020,46,206
Oklahoma,2020,46,155
Oregon,2020,46,586
Pennsylvania,2020,46,846
Rhode Island,2020,46,99
South Carolina,2020,46,200
South Dakota,2020,46,84
Tennessee,2020,46,569
Texas,2020,46,1038
Utah,2020,46,235
Vermont,2020,46,36
Virginia,2020,46,1021
Washington,2020,46,151
West Virginia,2020,46,116
Wisconsin,2020,46,201
Wyoming,2020,46,48
Commonwealth of the Northern Mariana Islands,2020,46,X
Puerto Rico,2020,46,101
Virgin Islands,2020,46,0
New York City,2020,46,751
Alabama,2020,47,573
Alaska,2020,47,34
Arizona,2020,47,244
Arkansas,2020,47,207
California,2020,47,1084
Colorado,2020,47,351
Connecticut,2020,47,545
Delaware,2020,47,74
District of Columbia,2020,47,131
Florida,2020,47,3541
Georgia,2020,47,1431
Hawaii,2020,47,14
Idaho,2020,47,130
Illinois,2020,47,1003
Indiana,2020,47,805
Iowa,2020,47,77
Kansas,2020,47,202
Kentucky,2020,47,395
Louisiana,2020,47,371
Maine,2020,47,71
Maryland,2020,47,644
Massachusetts,2020,47,562
Michigan,2020,47,86
Minnesota,2020,47,195
Mississippi,2020,47,264
Missouri,2020,47,351
Montana,2020,47,50
Nebraska,2020,47,135
Nevada,2020,47,117
New Hampshire,2020,47,4
New Jersey,2020,47,747
New Mexico,2020,47,498
New York,2020,47,577
North Carolina,2020,47,855
North Dakota,2020,47,62
Ohio,2020,47,200
Oklahoma,2020,47,145
Oregon,2020,47,570
Pennsylvania,2020,47,839
Rhode Island,2020,47,72
South Carolina,2020,47,228
South Dakota,2020,47,47
Tennessee,2020,47,566
Texas,2020,47,936
Utah,2020,47,237
Vermont,2020,47,39
Virginia,2020,47,1204
Washington,2020,47,160
West Virginia,2020,47,125
Wisconsin,2020,47,141
Wyoming,2020,47,23
Commonwealth of the Northern Mariana Islands,2020,47,X
Puerto Rico,2020,47,142
Virgin Islands,2020,47,4
New York City,2020,47,596
Alabama,2020,48,515
Alaska,2020,48,30
Arizona,2020,48,201
Arkansas,2020,48,169
California,2020,48,1125
Colorado,2020,48,201
Connecticut,2020,48,438
Delaware,2020,48,96
District of Columbia,2020,48,104
Florida,2020,48,3513
Georgia,2020,48,1324
Hawaii,2020,48,8
Idaho,2020,48,166
Illinois,2020,48,772
Indiana,2020,48,697
Iowa,2020,48,31
Kansas,2020,48,141
Kentucky,2020,48,463
Louisiana,2020,48,335
Maine,2020,48,65
Maryland,2020,48,631
Massachusetts,2020,48,600
Michigan,2020,48,80
Minnesota,2020,48,119
Mississippi,2020,48,191
Missouri,2020,48,334
Montana,2020,48,52
Nebraska,2020,48,134
Nevada,2020,48,138
New Hampshire,2020,48,1
New Jersey,2020,48,790
New Mexico,2020,48,344
New York,2020,48,539
North Carolina,2020,48,820
North Dakota,2020,48,46
Ohio,2020,48,118
Oklahoma,2020,48,121
Oregon,2020,48,474
Pennsylvania,2020,48,971
Rhode Island,2020,48,95
South Carolina,2020,48,192
South Dakota,2020,48,30
Tennessee,2020,48,576
Texas,2020,48,801
Utah,2020,48,202
Vermont,2020,48,31
Virginia,2020,48,1360
Washington,2020,48,146
West Virginia,2020,48,110
Wisconsin,2020,48,117
Wyoming,2020,48,21
Commonwealth of the Northern Mariana Islands,2020,48,X
Puerto Rico,2020,48,116
Virgin Islands,2020,48,6
New York City,2020,48,613
Alabama,2020,49,603
Alaska,2020,49,17
Arizona,2020,49,274
Arkansas,2020,49,180
California,2020,49,1237
Colorado,2020,49,240
Connecticut,2020,49,538
Delaware,2020,49,79
District of Columbia,2020,49,146
Florida,2020,49,3777
Georgia,2020,49,1451
Hawaii,2020,49,9
Idaho,2020,49,135
Illinois,2020,49,689
Indiana,2020,49,593
Iowa,2020,49,49
Kansas,2020,49,156
Kentucky,2020,49,470
Louisiana,2020,49,372
Maine,2020,49,56
Maryland,2020,49,612
Massachusetts,2020,49,641
Michigan,2020,49,59
Minnesota,2020,49,110
Mississippi,2020,49,255
Missouri,2020,49,325
Montana,2020,49,57
Nebraska,2020,49,123
Nevada,2020,49,174
New Hampshire,2020,49,3
New Jersey,2020,49,753
New Mexico,2020,49,317
New York,2020,49,589
North Carolina,2020,49,932
North Dakota,2020,49,43
Ohio,2020,49,174
Oklahoma,2020,49,159
Oregon,2020,49,425
Pennsylvania,2020,49,956
Rhode Island,2020,49,76
South Carolina,2020,49,187
South Dakota,2020,49,45
Tennessee,2020,49,670
Texas,2020,49,794
Utah,2020,49,184
Vermont,2020,49,26
Virginia,2020,49,1355
Washington,2020,49,119
West Virginia,2020,49,136
Wisconsin,2020,49,109
Wyoming,2020,49,35
Commonwealth of the Northern Mariana Islands,2020,49,X
Puerto Rico,2020,49,107
Virgin Islands,2020,49,5
New York City,2020,49,624
Alabama,2020,50,638
Alaska,2020,50,23
Arizona,2020,50,235
Arkansas,2020,50,175
California,2020,50,1337
Colorado,2020,50,216
Connecticut,2020,50,537
Delaware,2020,50,77
District of Columbia,2020,50,152
Florida,2020,50,3539
Georgia,2020,50,1586
Hawaii,2020,50,18
Idaho,2020,50,115
Illinois,2020,50,663
Indiana,2020,50,580
Iowa,2020,50,38
Kansas,2020,50,133
Kentucky,2020,50,348
Louisiana,2020,50,390
Maine,2020,50,52
Maryland,2020,50,554
Massachusetts,2020,50,590
Michigan,2020,50,73
Minnesota,2020,50,88
Mississippi,2020,50,248
Missouri,2020,50,311
Montana,2020,50,54
Nebraska,2020,50,107
Nevada,2020,50,70
New Hampshire,2020,50,2
New Jersey,2020,50,665
New Mexico,2020,50,657
New York,2020,50,747
North Carolina,2020,50,968
North Dakota,2020,50,29
Ohio,2020,50,164
Oklahoma,2020,50,181
Oregon,2020,50,421
Pennsylvania,2020,50,847
Rhode Island,2020,50,63
South Carolina,2020,50,229
South Dakota,2020,50,53
Tennessee,2020,50,597
Texas,2020,50,834
Utah,2020,50,189
Vermont,2020,50,19
Virginia,2020,50,1270
Washington,2020,50,123
West Virginia,2020,50,138
Wisconsin,2020,50,111
Wyoming,2020,50,38
Commonwealth of the Northern Mariana Islands,2020,50,X
Puerto Rico,2020,50,101
Virgin Islands,2020,50,5
New York City,2020,50,704
Alabama,2020,51,592
Alaska,2020,51,17
Arizona,2020,51,205
Arkansas,2020,51,154
California,2020,51,1267
Colorado,2020,51,177
Connecticut,2020,51,377
Delaware,2020,51,70
District of Columbia,2020,51,147
Florida,2020,51,3964
Georgia,2020,51,1724
Hawaii,2020,51,8
Idaho,2020,51,103
Illinois,2020,51,577
Indiana,2020,51,462
Iowa,2020,51,50
Kansas,2020,51,136
Kentucky,2020,51,311
Louisiana,2020,51,354
Maine,2020,51,59
Maryland,2020,51,464
Massachusetts,2020,51,548
Michigan,2020,51,39
Minnesota,2020,51,52
Mississippi,2020,51,266
Missouri,2020,51,278
Montana,2020,51,47
Nebraska,2020,51,87
Nevada,2020,51,140
New Hampshire,2020,51,6
