iteration,epoch,mse,mae
0,0,1.905109,0.9453426
0,1,1.9829729,0.95772445
0,2,1.8726223,0.92839557
0,3,1.9691818,0.9447582
0,4,1.8621262,0.9041605
0,5,1.8493434,0.89534926
0,6,1.8248783,0.87321067
0,7,1.7351302,0.8525967
0,8,1.7415025,0.8436182
0,9,1.7527221,0.85230124
0,10,1.7525574,0.844893
0,11,1.7315273,0.84156805
0,12,1.7717303,0.845796
0,13,1.8315096,0.8652512
0,14,1.7751715,0.8489152
0,15,1.8034568,0.84960806
0,16,1.7623924,0.8424528
0,17,1.7925041,0.85239357
0,18,1.7933381,0.847734
0,19,1.7734776,0.83768994
0,20,1.7863852,0.8438432
0,21,1.7566078,0.83754814
0,22,1.7691715,0.839307
0,23,1.7315254,0.8305755
0,24,1.76009,0.83861613
0,25,1.7313086,0.8317129
0,26,1.7915289,0.84811693
0,27,1.7676966,0.8395794
0,28,1.7566309,0.83577967
0,29,1.7411318,0.82962745
0,30,1.7377957,0.8279424
0,31,1.749383,0.8309361
0,32,1.7630079,0.8341798
0,33,1.7841625,0.8441299
0,34,1.7856854,0.84539086
0,35,1.7885215,0.8444679
0,36,1.7641468,0.8359522
0,37,1.7644166,0.83846813
0,38,1.7552589,0.83318007
0,39,1.7675822,0.83681667
0,40,1.7659161,0.83773166
0,41,1.7654155,0.8347961
0,42,1.7547001,0.8345731
0,43,1.7604302,0.8357402
0,44,1.7604438,0.83527064
0,45,1.7643678,0.83554375
0,46,1.7638881,0.8363887
0,47,1.7686353,0.8372939
0,48,1.7701274,0.83816785
0,49,1.7631387,0.8356595
1,0,2.283294,1.0386201
1,1,1.9858623,0.95772815
1,2,1.8791901,0.9156435
1,3,1.8004152,0.8815374
1,4,1.8186804,0.89630353
1,5,1.7540054,0.8647458
1,6,1.8266935,0.901125
1,7,1.7335615,0.8603463
1,8,1.7416058,0.85539967
1,9,1.7018574,0.8585321
1,10,1.7117366,0.84474623
1,11,1.712555,0.8517008
1,12,1.6654216,0.82796806
1,13,1.6981246,0.82986814
1,14,1.6774324,0.82524216
1,15,1.6908363,0.8264278
1,16,1.6810552,0.8157877
1,17,1.6609578,0.8222034
1,18,1.659661,0.8150945
1,19,1.6881349,0.8306393
1,20,1.6994585,0.8287967
1,21,1.7204845,0.83287054
1,22,1.7046459,0.8310987
1,23,1.6755029,0.81032115
1,24,1.7022983,0.8277793
1,25,1.7177563,0.83266646
1,26,1.7145724,0.8306689
1,27,1.7128748,0.8270002
1,28,1.6990255,0.82616746
1,29,1.7064782,0.82759845
1,30,1.712738,0.82668126
1,31,1.7025925,0.82445985
1,32,1.7191423,0.8310295
1,33,1.7049894,0.8217245
1,34,1.695408,0.8199376
1,35,1.7191789,0.8289412
1,36,1.7018354,0.82385683
1,37,1.6991583,0.82027066
1,38,1.703151,0.8221738
1,39,1.6870141,0.81503326
1,40,1.7221565,0.8307228
1,41,1.7020026,0.82172936
1,42,1.7078733,0.82483554
1,43,1.7135584,0.8249725
1,44,1.7163117,0.82665676
1,45,1.7135016,0.8263078
1,46,1.7090513,0.8239404
1,47,1.7162089,0.8254727
1,48,1.7125021,0.82562613
1,49,1.713229,0.82556456
2,0,2.0590394,0.95836604
2,1,2.136995,0.9977729
2,2,1.8974435,0.9244212
2,3,1.7199233,0.869346
2,4,1.6990697,0.8388578
2,5,1.6189038,0.82958806
2,6,1.6275253,0.8289371
2,7,1.6053115,0.8181589
2,8,1.6121507,0.8317809
2,9,1.5654974,0.81095207
2,10,1.5389756,0.79713875
2,11,1.5060467,0.7725126
2,12,1.5496484,0.80800897
2,13,1.5661575,0.8084381
2,14,1.5368146,0.79569954
2,15,1.4711633,0.77170855
2,16,1.5488204,0.8012534
2,17,1.5362773,0.7969484
2,18,1.5643092,0.8063195
2,19,1.5185951,0.790147
2,20,1.5161391,0.7910072
2,21,1.5226774,0.79077923
2,22,1.5161648,0.79111105
2,23,1.5292573,0.7883647
2,24,1.5058821,0.7894243
2,25,1.5133276,0.79063195
2,26,1.5144343,0.7920644
2,27,1.5135589,0.7899748
2,28,1.5158874,0.7904274
2,29,1.5202135,0.78736717
2,30,1.5243621,0.79604506
2,31,1.5240505,0.7947297
2,32,1.508303,0.78865343
2,33,1.5067616,0.78612113
2,34,1.5165839,0.79423976
2,35,1.5199512,0.792833
2,36,1.5312089,0.79529154
2,37,1.5138099,0.79015344
2,38,1.5217279,0.79389244
2,39,1.511507,0.78962976
2,40,1.5104239,0.78826267
2,41,1.5110996,0.7896454
2,42,1.5151831,0.79157543
2,43,1.517498,0.79081476
2,44,1.5120894,0.78893274
2,45,1.5164758,0.79177606
2,46,1.5142968,0.7910887
2,47,1.5212864,0.7931625
2,48,1.5119077,0.7895532
2,49,1.5130574,0.79065055
