iteration,epoch,mse,mae
0,0,3.0157623,1.3694711
0,1,3.2899215,1.4054229
0,2,2.9782252,1.3492576
0,3,2.5855844,1.2550501
0,4,2.5513403,1.26493
0,5,2.596933,1.2794205
0,6,2.704627,1.3017251
0,7,2.831333,1.3296525
0,8,2.8711033,1.3397765
0,9,2.8296406,1.3314147
0,10,2.756885,1.3163844
0,11,2.7623594,1.3193647
0,12,2.7693675,1.3206465
0,13,2.8023512,1.3270231
0,14,2.8232274,1.3312935
0,15,2.8245397,1.3306314
0,16,2.830991,1.3322673
0,17,2.834061,1.3328882
0,18,2.8237488,1.3305787
0,19,2.8229477,1.3295653
