iteration,epoch,rmse,pcc
0,0,3478.9519973693227,0.85554117
0,1,3538.6480469241355,0.85006803
0,2,3532.6325877452923,0.8591181
0,3,3499.7134168385846,0.8630919
0,4,3571.722133649257,0.8521452
0,5,3495.504398509606,0.85487646
0,6,3511.157074242051,0.86604446
0,7,3469.3407154674214,0.85678256
0,8,3546.826891744225,0.85277337
0,9,3400.654054737118,0.8645882
0,10,3411.468452147843,0.8610092
0,11,3451.5511005923117,0.86044854
0,12,3516.4102434158617,0.8555751
0,13,3512.20443596326,0.85237014
0,14,3525.554424484183,0.8517822
0,15,3584.978382082659,0.84911853
0,16,3582.1987661211656,0.8519842
0,17,3428.8897620075218,0.8621642
0,18,3462.4719493448606,0.8602103
0,19,3514.9588902290166,0.8561246
