iteration,epoch,mse,mae
0,0,3.3352299,1.3743657
0,1,2.0242105,0.9231496
0,2,1.9781243,0.9226466
0,3,1.8385478,0.86587715
0,4,1.9223669,0.900716
0,5,2.0153904,0.90966135
0,6,1.9654791,0.91200304
0,7,1.8025327,0.8477317
0,8,1.753651,0.8335086
0,9,1.948452,0.87814564
0,10,1.9512044,0.8726689
0,11,1.9463943,0.8641096
0,12,1.9194797,0.8736604
0,13,1.872576,0.84809977
0,14,1.912524,0.8646704
0,15,1.9552914,0.8782271
0,16,1.9048347,0.8424311
0,17,1.8645692,0.8375129
0,18,1.9659244,0.8666157
0,19,1.8828815,0.852819
0,20,1.867813,0.84114987
0,21,1.946797,0.8480201
0,22,1.9283483,0.85038716
0,23,1.907967,0.846078
0,24,1.9629409,0.8518016
0,25,1.9624419,0.8608951
0,26,1.9539398,0.8579479
0,27,1.9666679,0.85418385
0,28,1.9482541,0.85422665
0,29,1.9342128,0.8486551
0,30,1.9428191,0.85453767
0,31,1.9356848,0.85287666
0,32,1.9492373,0.85566944
0,33,1.9539075,0.8595975
0,34,1.9823235,0.86117446
0,35,1.9226297,0.84429455
0,36,1.9672601,0.8561469
0,37,1.9565878,0.85010475
0,38,1.951243,0.8525634
0,39,1.9801756,0.8588362
0,40,1.9352809,0.84892184
0,41,1.9562931,0.8563035
0,42,1.9702265,0.8606736
0,43,1.9534779,0.85213816
0,44,1.9458804,0.85078996
0,45,1.9641445,0.8560096
0,46,1.9652094,0.85453916
0,47,1.9652575,0.85455173
0,48,1.9464612,0.84995735
0,49,1.969961,0.8570854
1,0,2.766902,1.1808039
1,1,2.2516234,0.9513334
1,2,2.2033932,0.9688652
1,3,2.187399,0.925153
1,4,2.1549983,0.89105076
1,5,2.3966427,0.989208
1,6,2.0830035,0.8821962
1,7,2.218832,0.9279178
1,8,2.2058513,0.907995
1,9,2.2159126,0.91727954
1,10,2.3073838,0.88392425
1,11,2.3236706,0.906847
1,12,2.2122815,0.86594826
1,13,2.2341018,0.891177
1,14,2.390964,0.915474
1,15,2.406458,0.92435247
1,16,2.3257973,0.9072805
1,17,2.3168933,0.9102614
1,18,2.3372715,0.9015659
1,19,2.3751223,0.90355045
1,20,2.3963587,0.9118793
1,21,2.354403,0.90116173
1,22,2.372905,0.91442007
1,23,2.3529222,0.91253364
1,24,2.3780565,0.8992531
1,25,2.3656707,0.8988406
1,26,2.4257395,0.91159344
1,27,2.4052835,0.9119243
1,28,2.3928857,0.90715927
1,29,2.4305365,0.92114025
1,30,2.4029322,0.90182287
1,31,2.4167056,0.9153098
1,32,2.434687,0.9110674
1,33,2.4241204,0.90571827
1,34,2.4170086,0.91199654
1,35,2.4345887,0.92036617
1,36,2.4250672,0.91167927
1,37,2.4201646,0.91370857
1,38,2.418839,0.9106895
1,39,2.4280157,0.9127171
1,40,2.4312813,0.9174104
1,41,2.4390478,0.91924375
1,42,2.4309635,0.9201865
1,43,2.44497,0.91658205
1,44,2.439842,0.9111895
1,45,2.4298773,0.9073975
1,46,2.4400764,0.9116212
1,47,2.4352658,0.91365266
1,48,2.441526,0.9170472
1,49,2.4325447,0.9131289
2,0,2.4039068,1.0801338
2,1,2.2150927,0.9980373
2,2,2.046343,0.947327
2,3,1.8832154,0.8673086
2,4,2.0470238,0.94302505
2,5,1.8203789,0.87679005
2,6,1.9416976,0.88303614
2,7,1.9133755,0.89170885
2,8,1.8866198,0.8654524
2,9,1.8706342,0.84844244
2,10,1.8570305,0.8455065
2,11,1.9677457,0.8905832
2,12,1.9158676,0.8729541
2,13,1.8708197,0.8613919
2,14,1.8595829,0.85237485
2,15,1.8343096,0.8450307
2,16,1.8710766,0.8517414
2,17,1.8962214,0.8620751
2,18,1.9527152,0.8898068
2,19,1.8646123,0.8482509
2,20,1.8922265,0.8644975
2,21,1.9039677,0.86675614
2,22,1.9042904,0.8746897
2,23,1.830596,0.83912617
2,24,1.8280336,0.8427582
2,25,1.8509765,0.8471454
2,26,1.8603622,0.8532123
2,27,1.8914659,0.85412025
2,28,1.8912191,0.8649398
2,29,1.9011687,0.86821955
2,30,1.8600131,0.85180026
2,31,1.8622481,0.85426426
2,32,1.8437266,0.84288234
2,33,1.8576732,0.8493017
2,34,1.8604246,0.8487286
2,35,1.8581892,0.85192835
2,36,1.8411162,0.8430249
2,37,1.865858,0.8510444
2,38,1.8633412,0.85007167
2,39,1.8563564,0.8482585
2,40,1.8681151,0.8519762
2,41,1.861822,0.8500161
2,42,1.8609873,0.8501857
2,43,1.86096,0.85323644
2,44,1.8621285,0.8514531
2,45,1.8682007,0.8551545
2,46,1.8626733,0.85300666
2,47,1.8614006,0.8533994
2,48,1.8576502,0.8508719
2,49,1.8625928,0.8542224
