iteration,epoch,mse,mae
0,0,2.083684,1.0153885
0,1,2.1089723,1.019705
0,2,2.0881574,0.9935493
0,3,2.0243442,0.9550577
0,4,1.9986658,0.9504706
0,5,1.9870774,0.93830985
0,6,1.7916077,0.8859701
0,7,1.8806854,0.8957288
0,8,1.9270741,0.9232815
0,9,1.9087071,0.89562345
0,10,1.9011223,0.8999001
0,11,1.9555322,0.9300319
0,12,1.9585327,0.9081712
0,13,1.942538,0.90629387
0,14,1.9393517,0.90248847
0,15,1.8964567,0.90284747
0,16,1.9466964,0.90319896
0,17,1.9559361,0.9104669
0,18,1.9250126,0.89706933
0,19,1.918323,0.90142757
0,20,1.954531,0.90455157
0,21,1.9127073,0.8992294
0,22,1.9501896,0.90942466
0,23,1.9287338,0.9028692
0,24,1.963587,0.9071163
0,25,1.9544013,0.9025736
0,26,1.9359796,0.90883726
0,27,1.9497018,0.908491
0,28,1.959717,0.9106948
0,29,1.964169,0.91627854
0,30,1.9519384,0.9053769
0,31,1.9542056,0.9081545
0,32,1.9758062,0.9112643
0,33,1.9664186,0.9132759
0,34,1.9741527,0.9137897
0,35,1.9654399,0.91467154
0,36,1.9524289,0.90893763
0,37,1.9615678,0.91173965
0,38,1.9552119,0.9099487
0,39,1.969246,0.9120487
0,40,1.9634019,0.9120931
0,41,1.969285,0.9135363
0,42,1.967069,0.91146225
0,43,1.9662548,0.91253996
0,44,1.9750268,0.9130194
0,45,1.9707509,0.91338795
0,46,1.9578644,0.9104361
0,47,1.972374,0.9133091
0,48,1.9648999,0.9121136
0,49,1.9682108,0.9130003
1,0,2.1819563,0.9890836
1,1,2.130347,1.0161941
1,2,2.1572604,1.0299554
1,3,1.8311985,0.92561585
1,4,1.8336602,0.91983247
1,5,1.9209243,0.933878
1,6,1.8657315,0.9167996
1,7,1.8950266,0.92334026
1,8,1.8824215,0.91440374
1,9,1.9434674,0.93437713
1,10,1.7969805,0.8879031
1,11,1.8030826,0.8844853
1,12,1.8319255,0.88933283
1,13,1.8988062,0.91200197
1,14,1.8177998,0.8884209
1,15,1.7920388,0.88141847
1,16,1.8111086,0.8807792
1,17,1.849478,0.8916086
1,18,1.8400688,0.89297885
1,19,1.8188375,0.8735431
1,20,1.8304688,0.87531316
1,21,1.7967149,0.87214077
1,22,1.807878,0.8779679
1,23,1.840482,0.88593084
1,24,1.8077854,0.87374717
1,25,1.7976692,0.87332934
1,26,1.8085012,0.8762167
1,27,1.8200487,0.8736365
1,28,1.8248602,0.8774343
1,29,1.8215017,0.87298346
1,30,1.8136477,0.8711602
1,31,1.8058734,0.8686198
1,32,1.8154762,0.87469876
1,33,1.8094965,0.8735281
1,34,1.8230029,0.87549406
1,35,1.796382,0.868871
1,36,1.8121954,0.87294227
1,37,1.8128058,0.8730223
1,38,1.8025346,0.86798286
1,39,1.8055153,0.86950165
1,40,1.8089435,0.8713265
1,41,1.8011281,0.8675411
1,42,1.8134794,0.8722266
1,43,1.8027605,0.86955345
1,44,1.8128687,0.8716248
1,45,1.8112053,0.87044585
1,46,1.8098794,0.8711092
1,47,1.8087553,0.8705137
1,48,1.8077762,0.8698136
1,49,1.811283,0.8705061
2,0,2.1078043,1.0212444
2,1,1.9549285,0.9829952
2,2,1.9297591,0.96826476
2,3,1.713716,0.9002588
2,4,2.0691795,0.9869792
2,5,1.990098,0.94966257
2,6,1.8716507,0.92018753
2,7,1.8543221,0.90359825
2,8,1.8800349,0.9264173
2,9,1.8274523,0.8970031
2,10,1.8560603,0.9012175
2,11,1.7496246,0.86909133
2,12,1.8444048,0.892239
2,13,1.7679279,0.87501127
2,14,1.8021472,0.8871032
2,15,1.7408715,0.86443007
2,16,1.7570562,0.86560225
2,17,1.768478,0.86937857
2,18,1.7378592,0.85668707
2,19,1.7396911,0.8557532
2,20,1.7974945,0.8802799
2,21,1.7689652,0.86059415
2,22,1.7282609,0.84506214
2,23,1.7182584,0.8458519
2,24,1.7512789,0.8602575
2,25,1.7224154,0.8461172
2,26,1.7417753,0.85004145
2,27,1.7155254,0.8428399
2,28,1.7455767,0.85200924
2,29,1.7241099,0.8454767
2,30,1.7401628,0.85254
2,31,1.7279425,0.8462508
2,32,1.7291344,0.84868824
2,33,1.7396485,0.8477683
2,34,1.7475865,0.8539188
2,35,1.7194679,0.8431786
2,36,1.7297987,0.8461218
2,37,1.7357656,0.85033715
2,38,1.7508631,0.85204273
2,39,1.7493999,0.8523879
2,40,1.739227,0.849977
2,41,1.742812,0.8502332
2,42,1.7311214,0.8468397
2,43,1.7359184,0.8474851
2,44,1.741957,0.8498953
2,45,1.7348967,0.8460918
2,46,1.7315562,0.84721833
2,47,1.7347776,0.84574246
2,48,1.7362986,0.84638166
2,49,1.7389941,0.8468839
