iteration,epoch,mse,mae
0,0,3.023329,1.3722082
0,1,3.288064,1.4057134
0,2,2.9799943,1.350011
0,3,2.6076376,1.2622613
0,4,2.5686555,1.2688125
0,5,2.6003525,1.2822481
0,6,2.7218463,1.3068565
0,7,2.855084,1.3373561
0,8,2.8873937,1.3448577
0,9,2.8398836,1.3349643
0,10,2.777818,1.3233507
0,11,2.7864413,1.3261482
0,12,2.7910647,1.3266366
0,13,2.8256192,1.3329707
0,14,2.8520975,1.3387307
0,15,2.852188,1.3379371
0,16,2.8522053,1.3378298
0,17,2.8508663,1.33739
0,18,2.8391664,1.334564
0,19,2.8386855,1.333597
