iteration,epoch,rmse,pcc
0,0,3904.155606530047,0.81654525
0,1,3599.5970607833315,0.8620594
0,2,3617.445507537052,0.8724168
0,3,3646.232301979675,0.85467786
0,4,3481.728019245616,0.8556612
0,5,3126.3200411985977,0.88495684
0,6,3651.0791555374417,0.8409161
0,7,3813.5204208185382,0.8355251
0,8,4161.665531971545,0.8167623
0,9,3824.9020902501543,0.8328839
0,10,3712.8720688976073,0.8399471
0,11,3774.230782556891,0.84350044
0,12,3743.158292137804,0.8458896
0,13,3616.0589043874825,0.84955585
0,14,3424.3486971977604,0.8643118
0,15,3503.631259136726,0.85616285
0,16,3509.0376173532254,0.8565804
0,17,3516.3542199272247,0.8578521
0,18,3447.519398060002,0.85931283
0,19,3379.491381850233,0.8665854
