iteration,epoch,mse,mae
0,0,0.7817249,0.61964583
0,1,0.65242165,0.56614137
0,2,0.747539,0.5982442
0,3,0.6043289,0.55270946
0,4,0.70812935,0.60315216
0,5,0.7301698,0.6013032
0,6,0.58118355,0.52935296
0,7,0.5882248,0.52734613
0,8,0.5626174,0.51417756
0,9,0.64572465,0.55902064
0,10,0.54674155,0.49321416
0,11,0.61062604,0.52552295
0,12,0.6429084,0.54350287
0,13,0.6090543,0.5344892
0,14,0.5990659,0.5137768
0,15,0.6302871,0.53777915
0,16,0.6078443,0.5213592
0,17,0.5832862,0.51574296
0,18,0.6049978,0.5151775
0,19,0.6256883,0.5306039
