iteration,epoch,rmse,pcc
0,0,3676.350772165246,0.8374082
0,1,3658.5516259853434,0.844197
0,2,3523.086998641958,0.85379595
0,3,3578.017887043048,0.8568351
0,4,3511.391746871887,0.85708195
0,5,3493.391904725263,0.85953176
0,6,3483.677797960081,0.8592305
0,7,3440.1312474962347,0.86337787
0,8,3473.5146465791677,0.86050487
0,9,3471.0626614914345,0.86106074
0,10,3500.131283252101,0.8574476
0,11,3488.6832759653034,0.8576457
0,12,3488.303025827888,0.8593659
0,13,3478.5587532769946,0.858705
0,14,3482.14143882755,0.85797435
0,15,3508.67838366528,0.8550563
0,16,3486.3439302512884,0.8562179
0,17,3490.5496701809016,0.85626495
0,18,3499.219770177346,0.8552419
0,19,3515.603788824901,0.85301465
