iteration,epoch,mse,mae
0,0,2.0812843,0.96353656
0,1,1.9160887,0.93625396
0,2,2.0060344,0.93741804
0,3,1.9460776,0.8916149
0,4,2.0429204,0.94331044
0,5,1.9462057,0.9031148
0,6,1.8245671,0.8599158
0,7,1.9895331,0.87438583
0,8,1.772048,0.8408321
0,9,1.8218455,0.8481871
0,10,1.7766976,0.8292021
0,11,1.7610608,0.8298208
0,12,1.7750163,0.82832205
0,13,1.7448997,0.8012841
0,14,1.7412667,0.81553566
0,15,1.77459,0.83142996
0,16,1.7616287,0.820953
0,17,1.777355,0.8194517
0,18,1.7696569,0.8174698
0,19,1.8082663,0.827992
0,20,1.7552783,0.81136924
0,21,1.7690768,0.81646764
0,22,1.7423289,0.80570173
0,23,1.743134,0.808254
0,24,1.7329565,0.80348325
0,25,1.7334665,0.80696595
0,26,1.7600464,0.81637925
0,27,1.7559791,0.8092558
0,28,1.7599865,0.8071194
0,29,1.7406297,0.8065713
0,30,1.7454625,0.80755234
0,31,1.7448593,0.8049663
0,32,1.7337922,0.80355483
0,33,1.736428,0.8001471
0,34,1.7228047,0.79952556
0,35,1.7306527,0.8032812
0,36,1.7452658,0.8080794
0,37,1.7365001,0.803127
0,38,1.7347554,0.80286086
0,39,1.7488217,0.8081937
0,40,1.7308619,0.8003522
0,41,1.7349981,0.80107236
0,42,1.73547,0.80420285
0,43,1.7471058,0.8077743
0,44,1.7379299,0.8035904
0,45,1.7416604,0.80531174
0,46,1.7327151,0.8021109
0,47,1.7390449,0.8042542
0,48,1.744744,0.804791
0,49,1.7414651,0.803786
1,0,1.9477472,0.93871295
1,1,1.9692898,0.9370796
1,2,2.1316686,1.006638
1,3,2.1189618,0.97356546
1,4,2.190987,0.99635714
1,5,2.2776504,1.0042739
1,6,2.1723328,0.9677176
1,7,2.2343905,0.9659698
1,8,2.1990786,0.9555495
1,9,2.2783275,0.9684251
1,10,2.093527,0.91891855
1,11,2.0391455,0.91021264
1,12,2.0566552,0.9160636
1,13,2.1168003,0.9347637
1,14,2.0162196,0.91033906
1,15,2.165118,0.9362677
1,16,2.0007856,0.9032924
1,17,2.0783908,0.92186695
1,18,1.9678501,0.8957253
1,19,2.0123289,0.9081939
1,20,1.9456487,0.89582664
1,21,1.9541047,0.8852077
1,22,1.9658899,0.8957583
1,23,1.9590752,0.8971006
1,24,1.960332,0.89918625
1,25,1.952628,0.8937819
1,26,1.9702876,0.9001624
1,27,1.9733498,0.89939994
1,28,1.9404188,0.89278245
1,29,1.9459813,0.89500576
1,30,1.9398432,0.89475733
1,31,1.9432298,0.89444584
1,32,1.9256437,0.8894328
1,33,1.9389957,0.8935722
1,34,1.9219495,0.89004344
1,35,1.928123,0.8923154
1,36,1.9460367,0.8965337
1,37,1.9349272,0.8950558
1,38,1.9353882,0.8957948
1,39,1.9289553,0.89316785
1,40,1.9428418,0.8967323
1,41,1.9250379,0.89108056
1,42,1.9392211,0.89446
1,43,1.9362276,0.8957732
1,44,1.935891,0.89410275
1,45,1.9246476,0.89223295
1,46,1.9267063,0.8919243
1,47,1.9215157,0.89213073
1,48,1.9189286,0.8907322
1,49,1.9238951,0.8921654
2,0,2.2570333,1.0057352
2,1,2.019162,0.9627287
2,2,2.0726154,0.97781384
2,3,1.9630666,0.94773054
2,4,1.9346696,0.94094837
2,5,1.8542825,0.9158062
2,6,1.7209882,0.86745846
2,7,1.6326184,0.8267205
2,8,1.6567643,0.84330577
2,9,1.6575903,0.84723204
2,10,1.6602626,0.8486618
2,11,1.6058474,0.83354604
2,12,1.646011,0.8401768
2,13,1.6392859,0.84578234
2,14,1.617495,0.83216286
2,15,1.6326779,0.8376621
2,16,1.5988489,0.82475597
2,17,1.6389695,0.842867
2,18,1.60753,0.8312652
2,19,1.6206192,0.82718974
2,20,1.6286972,0.83149284
2,21,1.6147815,0.82869095
2,22,1.6120244,0.8233378
2,23,1.5975295,0.8187352
2,24,1.6252544,0.8302125
2,25,1.6101307,0.82584506
2,26,1.59895,0.8224737
2,27,1.6100117,0.82575446
2,28,1.5951377,0.8191112
2,29,1.6080277,0.82255745
2,30,1.5930467,0.81756455
2,31,1.5923965,0.81695175
2,32,1.6089145,0.8217968
2,33,1.5959555,0.8191747
2,34,1.5901216,0.81328857
2,35,1.5990105,0.81733197
2,36,1.5975596,0.81774664
2,37,1.5951009,0.81829816
2,38,1.5864222,0.81118286
2,39,1.5897669,0.81500304
2,40,1.5947441,0.81455445
2,41,1.5907943,0.81424445
2,42,1.5895293,0.81320065
2,43,1.5927444,0.815777
2,44,1.5912534,0.81435114
2,45,1.5889759,0.8140807
2,46,1.590724,0.8147347
2,47,1.5883019,0.8134641
2,48,1.587863,0.8132054
2,49,1.5909902,0.81395936
