iteration,epoch,mse,mae
0,0,1.7680584,1.0896881
0,1,1.7034105,1.0370121
0,2,1.6604012,1.0074189
0,3,1.685246,1.0133604
0,4,1.6892662,1.0066575
0,5,1.7322603,1.0386256
0,6,1.8031464,1.0692497
0,7,1.802214,1.0707512
0,8,1.7972006,1.0712892
0,9,1.8242399,1.0851151
0,10,1.8062531,1.072506
0,11,1.8151232,1.0759926
0,12,1.84717,1.0950933
0,13,1.8456296,1.0932577
0,14,1.8373948,1.091887
0,15,1.8824432,1.106121
0,16,1.8266683,1.0846514
0,17,1.8649529,1.1011921
0,18,1.8633069,1.1014862
0,19,1.8485587,1.0959615
