iteration,epoch,mse,mae
0,0,0.9126193,0.72629356
0,1,0.89639276,0.69934887
0,2,0.90212834,0.6915903
0,3,0.7849825,0.61110485
0,4,0.73102176,0.59743017
0,5,0.69291294,0.5793129
0,6,0.61073977,0.53628576
0,7,0.6212255,0.53685135
0,8,0.6366389,0.55345196
0,9,0.67327815,0.54872775
0,10,0.6474137,0.5456243
0,11,0.68796897,0.5639021
0,12,0.6691163,0.5525425
0,13,0.685753,0.5566632
0,14,0.6554253,0.5474949
0,15,0.6863533,0.5594579
0,16,0.67490554,0.55088806
0,17,0.6925243,0.5614373
0,18,0.6861473,0.56132275
0,19,0.7024962,0.5630872
