iteration,epoch,mse,mae
0,0,0.79544926,0.5942803
0,1,0.74125516,0.59277844
0,2,0.7957103,0.63655484
0,3,0.74671453,0.5833334
0,4,0.69453645,0.54293454
0,5,0.7160355,0.5443652
0,6,0.6545142,0.53676
0,7,0.67299443,0.55316633
0,8,0.683821,0.54521
0,9,0.6569924,0.52858824
0,10,0.6961918,0.5387081
0,11,0.75020367,0.56279635
0,12,0.65671706,0.5210303
0,13,0.7091509,0.53727365
0,14,0.67178,0.5354505
0,15,0.652799,0.5155414
0,16,0.67685634,0.523405
0,17,0.6663644,0.51823884
0,18,0.65698284,0.50892055
0,19,0.6961666,0.52158177
