iteration,epoch,mse,mae
0,0,1.1606492,0.8048074
0,1,1.1840278,0.7967959
0,2,1.371649,0.8492083
0,3,1.3991107,0.8500896
0,4,1.2378184,0.8080707
0,5,1.366017,0.83650047
0,6,1.2615933,0.82043064
0,7,1.3991773,0.8492661
0,8,1.2576029,0.80647194
0,9,1.377865,0.8411025
0,10,1.3082472,0.81679255
0,11,1.3213578,0.82445794
0,12,1.3838663,0.83731645
0,13,1.3756267,0.83711696
0,14,1.4074159,0.8336261
0,15,1.393605,0.8412713
0,16,1.3099973,0.80979943
0,17,1.2701911,0.799666
0,18,1.4170108,0.84207886
0,19,1.4354161,0.8456227
