iteration,epoch,mse,mae
0,0,2.4653394,1.0950251
0,1,2.1331832,0.99954474
0,2,2.0191584,0.9763666
0,3,2.0362587,0.96908045
0,4,2.067953,0.98707753
0,5,2.1452956,1.0195985
0,6,2.1936722,1.0234884
0,7,1.976829,0.9436376
0,8,1.9457406,0.9422961
0,9,1.9652425,0.9381903
0,10,1.9193039,0.91523874
0,11,1.9726287,0.9472836
0,12,1.9996874,0.956539
0,13,2.0406144,0.9558176
0,14,2.0283813,0.94703573
0,15,2.0403106,0.95562154
0,16,1.9657184,0.92472136
0,17,2.0438879,0.9523532
0,18,1.9879847,0.9356198
0,19,2.0348458,0.9420911
0,20,1.9996357,0.93656117
0,21,2.0097373,0.93347764
0,22,2.0248115,0.94127023
0,23,2.0489707,0.94491965
0,24,1.997046,0.9292374
0,25,1.9984176,0.93321097
0,26,1.9807391,0.922015
0,27,2.034004,0.94008225
0,28,1.9843497,0.9243922
0,29,2.0030105,0.9294929
0,30,2.006704,0.9303903
0,31,2.012027,0.93570864
0,32,2.0168889,0.9333414
0,33,2.0019035,0.9294629
0,34,2.0190067,0.9375824
0,35,2.0114288,0.93419105
0,36,2.006747,0.9305916
0,37,2.0169518,0.9374715
0,38,2.0034308,0.93273056
0,39,2.0215442,0.9361756
0,40,2.0190554,0.93507713
0,41,2.0064752,0.92965925
0,42,2.0048056,0.93039984
0,43,2.00202,0.9284931
0,44,2.0208774,0.9353741
0,45,2.0114295,0.9329538
0,46,2.0068917,0.93072045
0,47,2.006238,0.9306798
0,48,2.0167289,0.93464035
0,49,2.0091903,0.93269104
1,0,2.7609422,1.2089142
1,1,2.1161141,0.99325156
1,2,2.001468,0.9546113
1,3,1.8384992,0.89893883
1,4,1.9249246,0.93114316
1,5,2.031717,0.9514955
1,6,1.9253464,0.9252311
1,7,1.9397055,0.9311124
1,8,1.8213922,0.892575
1,9,1.8057995,0.8853045
1,10,1.8172964,0.8713685
1,11,1.892975,0.90141034
1,12,1.8050915,0.8784585
1,13,1.965553,0.90065444
1,14,1.8862408,0.8841612
1,15,1.9516315,0.89391416
1,16,1.900213,0.882831
1,17,1.91764,0.881358
1,18,1.9229244,0.89147884
1,19,1.9446702,0.8944374
1,20,1.952007,0.88924223
1,21,1.8678495,0.8726763
1,22,1.9052974,0.8859635
1,23,1.9047025,0.88203365
1,24,1.9012554,0.88224053
1,25,1.9302188,0.88277894
1,26,1.9119681,0.87919706
1,27,1.914178,0.879055
1,28,1.9314839,0.88691074
1,29,1.9104255,0.88095576
1,30,1.940368,0.8851707
1,31,1.9266628,0.88131917
1,32,1.9240202,0.8814792
1,33,1.9328223,0.88824415
1,34,1.9312413,0.88324165
1,35,1.9418116,0.88514096
1,36,1.9614534,0.89361936
1,37,1.9336922,0.88249797
1,38,1.9420416,0.88643503
1,39,1.923299,0.8817154
1,40,1.9404945,0.8847334
1,41,1.9394825,0.8832021
1,42,1.9360795,0.8817781
1,43,1.943758,0.8857264
1,44,1.9286686,0.88172746
1,45,1.9267683,0.8802125
1,46,1.9297413,0.8827934
1,47,1.9328891,0.88293856
1,48,1.9284279,0.88313776
1,49,1.9351999,0.88318795
2,0,2.0735326,0.9995597
2,1,2.009354,0.9633465
2,2,2.11534,1.0076736
2,3,2.0487707,0.9721043
2,4,2.0903826,1.019836
2,5,1.7697244,0.89214426
2,6,1.7253742,0.87337583
2,7,1.7414258,0.8701553
2,8,1.9188713,0.92805344
2,9,1.9034368,0.9158909
2,10,1.7419947,0.87407917
2,11,1.8576021,0.87949514
2,12,1.7875531,0.87553746
2,13,1.7877657,0.88297266
2,14,1.8048325,0.8793513
2,15,1.8898507,0.9115269
2,16,1.8242633,0.89121896
2,17,1.836918,0.8823903
2,18,1.8442819,0.88910204
2,19,1.8461026,0.889021
2,20,1.8137792,0.8715765
2,21,1.8205116,0.8817667
2,22,1.8194598,0.87516046
2,23,1.8107487,0.86169
2,24,1.8211144,0.87748337
2,25,1.8573463,0.8856091
2,26,1.8664644,0.8941431
2,27,1.8520111,0.8840965
2,28,1.8937956,0.89536685
2,29,1.8530211,0.8800633
2,30,1.8520641,0.8800736
2,31,1.8538829,0.8812425
2,32,1.8556994,0.8844617
2,33,1.8565161,0.8826574
2,34,1.8486512,0.87246007
2,35,1.8576124,0.8853138
2,36,1.8567855,0.88181823
2,37,1.8488815,0.87639064
2,38,1.8459206,0.88195413
2,39,1.8454597,0.87853235
2,40,1.8389839,0.8769709
2,41,1.8322778,0.8732247
2,42,1.8396778,0.8738851
2,43,1.8545686,0.8792076
2,44,1.8526633,0.8796831
2,45,1.8529482,0.87891924
2,46,1.8639791,0.881794
2,47,1.8633462,0.8832483
2,48,1.8545039,0.8772528
2,49,1.8439277,0.87622017
