iteration,epoch,mse,mae
0,0,0.5987931,0.5706459
0,1,0.6913964,0.6152965
0,2,0.6496894,0.5881342
0,3,0.7239701,0.62677723
0,4,0.7094222,0.62331647
0,5,0.65617424,0.5993398
0,6,0.6714053,0.6009024
0,7,0.6989855,0.6159299
0,8,0.66548675,0.60001916
0,9,0.6918233,0.6195493
0,10,0.67051303,0.6042337
0,11,0.6920359,0.6102691
0,12,0.70962876,0.61309654
0,13,0.66559774,0.60079587
0,14,0.6815274,0.59844863
0,15,0.6634248,0.5950805
0,16,0.67319334,0.5941318
0,17,0.6693634,0.5943305
0,18,0.67740583,0.5961256
0,19,0.6544279,0.5870675
