iteration,epoch,mse,mae
0,0,0.86143833,0.67390937
0,1,0.8574745,0.6453216
0,2,0.7899784,0.6119092
0,3,0.8893078,0.6682115
0,4,0.7310479,0.5793676
0,5,0.6811672,0.55640364
0,6,0.71798795,0.55641186
0,7,0.6662846,0.53998595
0,8,0.69125324,0.5452276
0,9,0.67468476,0.5338746
0,10,0.72038317,0.55782026
0,11,0.68249893,0.5400676
0,12,0.6996282,0.552833
0,13,0.7297092,0.55585736
0,14,0.70426184,0.5535327
0,15,0.71638626,0.5522806
0,16,0.70404917,0.5428333
0,17,0.70471656,0.54543823
0,18,0.7135785,0.54733235
0,19,0.6803565,0.53066134
