iteration,epoch,mse,mae
0,0,8.140093,2.026486
0,1,3.5573225,1.4766808
0,2,3.1887672,1.3680365
0,3,2.416536,1.2245109
0,4,2.001949,1.1035923
0,5,2.1646118,1.1512691
0,6,2.0111976,1.1208858
0,7,1.8548745,1.0616202
0,8,2.0740569,1.1463867
0,9,1.9016207,1.0748448
0,10,1.954373,1.1055583
0,11,1.958298,1.1055127
0,12,1.9077442,1.0878414
0,13,1.9360038,1.1033195
0,14,1.9392018,1.0896453
0,15,1.9296279,1.1010706
0,16,1.9045793,1.0915723
0,17,1.9216723,1.0954702
0,18,1.9320911,1.1002594
0,19,1.9089986,1.0916581
