iteration,epoch,mse,mae
0,0,1.7363151,1.0699008
0,1,1.7004409,1.0330899
0,2,1.6465813,0.99744594
0,3,1.6715528,1.0041622
0,4,1.6764798,0.99892455
0,5,1.726302,1.0351509
0,6,1.7853353,1.0622684
0,7,1.7602534,1.0544991
0,8,1.7597387,1.0582765
0,9,1.7804253,1.0684842
0,10,1.7439018,1.046995
0,11,1.7600324,1.0544006
0,12,1.7652609,1.0619271
0,13,1.7664015,1.0616523
0,14,1.7575654,1.0586772
0,15,1.7865372,1.0680072
0,16,1.7487655,1.0531487
0,17,1.7659706,1.0607005
0,18,1.7615352,1.0604268
0,19,1.7520546,1.055915
