iteration,epoch,mse,mae
0,0,1.3083427,0.8931665
0,1,1.2215053,0.8178415
0,2,1.2837982,0.8410104
0,3,1.133938,0.8000837
0,4,1.1194537,0.7855346
0,5,1.0864698,0.77325714
0,6,1.1189548,0.7948064
0,7,1.1007665,0.7914609
0,8,1.196449,0.83725756
0,9,1.179745,0.83332294
0,10,1.1561999,0.8141613
0,11,1.1439742,0.8093785
0,12,1.1575934,0.80727684
0,13,1.1685311,0.8148401
0,14,1.2426671,0.83090657
0,15,1.1654301,0.8125999
0,16,1.1773256,0.8074412
0,17,1.132753,0.79276794
0,18,1.1875446,0.8046562
0,19,1.1836971,0.80661285
